engine,sample_id,audio_path,transcript,elapsed_seconds,real_time_factor,info,reference,wer,cer
mlx_whisper,nl-0000,dataset_cache/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.8686010837554932,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.0,0.0
faster_whisper,nl-0000,dataset_cache/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybear gewonnen.,1.3710293769836426,,"{'model': 'guillaumekln/faster-whisper-small', 'language': 'nl'}",Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.1111111111111111,0.017241379310344827
faster_whisper_large,nl-0000,dataset_cache/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,6.141258001327515,,"{'model': 'guillaumekln/faster-whisper-large-v2', 'language': 'nl'}",Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.0,0.0
whisper_cpp,nl-0000,dataset_cache/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,123.3468267917633,,"{'model': 'large-v1', 'language': 'nl'}",Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.0,0.0
mlx_whisper,nl-0001,dataset_cache/nl/audio/nl-0001.mp3,U weet dat ik het vragenrechten als een fundamenteel parlementair recht beschouw.,0.5546088218688965,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.08333333333333333,0.02531645569620253
faster_whisper,nl-0001,dataset_cache/nl/audio/nl-0001.mp3,U weet dat ik het vragen rechte als een fundamenteel parlementaire recht is gaan.,1.0730259418487549,,"{'model': 'guillaumekln/faster-whisper-small', 'language': 'nl'}",U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.4166666666666667,0.12658227848101267
faster_whisper_large,nl-0001,dataset_cache/nl/audio/nl-0001.mp3,U weet dat ik het vragenrechten als een fundamenteel parlementair recht beschouw.,4.681268930435181,,"{'model': 'guillaumekln/faster-whisper-large-v2', 'language': 'nl'}",U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.08333333333333333,0.02531645569620253
whisper_cpp,nl-0001,dataset_cache/nl/audio/nl-0001.mp3,U weet dat ik het vragenrechten als een normaal parlementair recht beschouw.,2.077348232269287,,"{'model': 'large-v1', 'language': 'nl'}",U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.16666666666666666,0.13924050632911392
mlx_whisper,nl-0002,dataset_cache/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.5248219966888428,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.0,0.0
faster_whisper,nl-0002,dataset_cache/nl/audio/nl-0002.mp3,Ik heb er geen enkel beswaar tegen dat wij ons daarover samen blijven bezinnen.,1.0864758491516113,,"{'model': 'guillaumekln/faster-whisper-small', 'language': 'nl'}",Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.07142857142857142,0.012658227848101266
faster_whisper_large,nl-0002,dataset_cache/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,4.726864814758301,,"{'model': 'guillaumekln/faster-whisper-large-v2', 'language': 'nl'}",Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.0,0.0
whisper_cpp,nl-0002,dataset_cache/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,2.0801711082458496,,"{'model': 'large-v1', 'language': 'nl'}",Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.0,0.0
mlx_whisper,nl-0003,dataset_cache/nl/audio/nl-0003.mp3,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.523838996887207,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.0,0.0
faster_whisper,nl-0003,dataset_cache/nl/audio/nl-0003.mp3,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,1.0322399139404297,,"{'model': 'guillaumekln/faster-whisper-small', 'language': 'nl'}",Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.0,0.0
faster_whisper_large,nl-0003,dataset_cache/nl/audio/nl-0003.mp3,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,4.716017246246338,,"{'model': 'guillaumekln/faster-whisper-large-v2', 'language': 'nl'}",Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.0,0.0
whisper_cpp,nl-0003,dataset_cache/nl/audio/nl-0003.mp3,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,2.0804553031921387,,"{'model': 'large-v1', 'language': 'nl'}",Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.0,0.0
mlx_whisper,nl-0004,dataset_cache/nl/audio/nl-0004.mp3,Het gemeentehuis kan je vinden op de markt.,0.49085497856140137,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",Het gemeentehuis kan je vinden op de markt.,0.0,0.0
