engine,model,sample_id,audio_path,transcript,elapsed_seconds,real_time_factor,info,rtf,reference,wer,cer
apple_dictation,nl-NL,nl-0000,.cache/datasets/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen,0.845566987991333,,"{'model': 'nl-NL', 'language': 'nl', 'locale': 'nl-NL'}",,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.1111111111111111,0.017241379310344827
mlx_whisper,mlx-community/whisper-large-v3-turbo,nl-0000,.cache/datasets/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,1.9932801723480225,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.0,0.0
faster_whisper,guillaumekln/faster-whisper-small,nl-0000,.cache/datasets/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybear gewonnen.,2.8213300704956055,,"{'model': 'guillaumekln/faster-whisper-small', 'language': 'nl'}",,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.1111111111111111,0.017241379310344827
faster_whisper_large,guillaumekln/faster-whisper-large-v2,nl-0000,.cache/datasets/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,9.963378190994263,,"{'model': 'guillaumekln/faster-whisper-large-v2', 'language': 'nl'}",,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.0,0.0
whisper_cpp,large-v1,nl-0000,.cache/datasets/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,2.6265270709991455,,"{'model': 'large-v1', 'language': 'nl'}",,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.0,0.0
parakeet_mlx,mlx-community/parakeet-tdt-0.6b-v3,nl-0000,.cache/datasets/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,1.170583724975586,,"{'model': 'mlx-community/parakeet-tdt-0.6b-v3', 'language': 'nl'}",,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.0,0.0
apple_dictation,nl-NL,nl-0001,.cache/datasets/nl/audio/nl-0001.mp3,Nu weten dat ik in vraagrecht als een instrumenteel parlementair recht schaam,0.546738862991333,,"{'model': 'nl-NL', 'language': 'nl', 'locale': 'nl-NL'}",,U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.5,0.27848101265822783
mlx_whisper,mlx-community/whisper-large-v3-turbo,nl-0001,.cache/datasets/nl/audio/nl-0001.mp3,U weet dat ik het vragenrechten als een fundamenteel parlementair recht beschouw.,0.5555627346038818,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",,U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.08333333333333333,0.02531645569620253
faster_whisper,guillaumekln/faster-whisper-small,nl-0001,.cache/datasets/nl/audio/nl-0001.mp3,U weet dat ik het vragen rechte als een fundamenteel parlementaire recht is gaan.,2.090679883956909,,"{'model': 'guillaumekln/faster-whisper-small', 'language': 'nl'}",,U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.4166666666666667,0.12658227848101267
faster_whisper_large,guillaumekln/faster-whisper-large-v2,nl-0001,.cache/datasets/nl/audio/nl-0001.mp3,U weet dat ik het vragenrechten als een fundamenteel parlementair recht beschouw.,7.299617052078247,,"{'model': 'guillaumekln/faster-whisper-large-v2', 'language': 'nl'}",,U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.08333333333333333,0.02531645569620253
whisper_cpp,large-v1,nl-0001,.cache/datasets/nl/audio/nl-0001.mp3,U weet dat ik het vragenrechten als een normaal parlementair recht beschouw.,2.0819149017333984,,"{'model': 'large-v1', 'language': 'nl'}",,U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.16666666666666666,0.13924050632911392
parakeet_mlx,mlx-community/parakeet-tdt-0.6b-v3,nl-0001,.cache/datasets/nl/audio/nl-0001.mp3,U weten dat ik het vragenrechten als een fundamenteel parlementair recht beschouw.,0.1742079257965088,,"{'model': 'mlx-community/parakeet-tdt-0.6b-v3', 'language': 'nl'}",,U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.16666666666666666,0.05063291139240506
apple_dictation,nl-NL,nl-0002,.cache/datasets/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen,0.32144808769226074,,"{'model': 'nl-NL', 'language': 'nl', 'locale': 'nl-NL'}",,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.07142857142857142,0.012658227848101266
mlx_whisper,mlx-community/whisper-large-v3-turbo,nl-0002,.cache/datasets/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.4851808547973633,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.0,0.0
faster_whisper,guillaumekln/faster-whisper-small,nl-0002,.cache/datasets/nl/audio/nl-0002.mp3,Ik heb er geen enkel beswaar tegen dat wij ons daarover samen blijven bezinnen.,1.962561845779419,,"{'model': 'guillaumekln/faster-whisper-small', 'language': 'nl'}",,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.07142857142857142,0.012658227848101266
faster_whisper_large,guillaumekln/faster-whisper-large-v2,nl-0002,.cache/datasets/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,7.1580541133880615,,"{'model': 'guillaumekln/faster-whisper-large-v2', 'language': 'nl'}",,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.0,0.0
whisper_cpp,large-v1,nl-0002,.cache/datasets/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,2.0705320835113525,,"{'model': 'large-v1', 'language': 'nl'}",,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.0,0.0
parakeet_mlx,mlx-community/parakeet-tdt-0.6b-v3,nl-0002,.cache/datasets/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.23055815696716309,,"{'model': 'mlx-community/parakeet-tdt-0.6b-v3', 'language': 'nl'}",,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.0,0.0
apple_dictation,nl-NL,nl-0003,.cache/datasets/nl/audio/nl-0003.mp3,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen,0.47024011611938477,,"{'model': 'nl-NL', 'language': 'nl', 'locale': 'nl-NL'}",,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.058823529411764705,0.013333333333333334
mlx_whisper,mlx-community/whisper-large-v3-turbo,nl-0003,.cache/datasets/nl/audio/nl-0003.mp3,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.49854278564453125,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",,Het was mooi om te zien dat ze elkaar na al die jaren nog even graag zagen.,0.0,0.0
