engine,sample_id,audio_path,transcript,elapsed_seconds,real_time_factor,info,reference,wer,cer
mlx_whisper,nl-0000,dataset_cache/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.9563729763031006,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.0,0.0
faster_whisper,nl-0000,dataset_cache/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybear gewonnen.,1.4336841106414795,,"{'model': 'guillaumekln/faster-whisper-small', 'language': 'nl'}",Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.1111111111111111,0.017241379310344827
faster_whisper_large,nl-0000,dataset_cache/nl/audio/nl-0000.mp3,Bij de schietkraam hadden ze een grote teddybeer gewonnen.,6.367462158203125,,"{'model': 'guillaumekln/faster-whisper-large-v2', 'language': 'nl'}",Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.0,0.0
whisper_cpp,nl-0000,dataset_cache/nl/audio/nl-0000.mp3,Bij de schietkram hadden ze een grote Teddybeer gewonnen.,0.5992131233215332,,"{'model': 'tiny', 'language': 'nl'}",Bij de schietkraam hadden ze een grote teddybeer gewonnen.,0.2222222222222222,0.034482758620689655
mlx_whisper,nl-0001,dataset_cache/nl/audio/nl-0001.mp3,U weet dat ik het vragenrechten als een fundamenteel parlementair recht beschouw.,0.5113129615783691,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.08333333333333333,0.02531645569620253
faster_whisper,nl-0001,dataset_cache/nl/audio/nl-0001.mp3,U weet dat ik het vragen rechte als een fundamenteel parlementaire recht is gaan.,1.0953960418701172,,"{'model': 'guillaumekln/faster-whisper-small', 'language': 'nl'}",U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.4166666666666667,0.12658227848101267
faster_whisper_large,nl-0001,dataset_cache/nl/audio/nl-0001.mp3,U weet dat ik het vragenrechten als een fundamenteel parlementair recht beschouw.,4.719887971878052,,"{'model': 'guillaumekln/faster-whisper-large-v2', 'language': 'nl'}",U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.08333333333333333,0.02531645569620253
whisper_cpp,nl-0001,dataset_cache/nl/audio/nl-0001.mp3,In het weten dat ik het vrijnrichten als een familie op een terrecht beschang.,0.5581047534942627,,"{'model': 'tiny', 'language': 'nl'}",U weet dat ik het vragenrecht als een fundamenteel parlementair recht beschouw.,0.75,0.43037974683544306
mlx_whisper,nl-0002,dataset_cache/nl/audio/nl-0002.mp3,Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.4953451156616211,,"{'model': 'mlx-community/whisper-large-v3-turbo', 'language': 'nl'}",Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.0,0.0
faster_whisper,nl-0002,dataset_cache/nl/audio/nl-0002.mp3,Ik heb er geen enkel beswaar tegen dat wij ons daarover samen blijven bezinnen.,1.0777442455291748,,"{'model': 'guillaumekln/faster-whisper-small', 'language': 'nl'}",Ik heb er geen enkel bezwaar tegen dat wij ons daarover samen blijven bezinnen.,0.07142857142857142,0.012658227848101266
